ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
90,ART CARPET BOMBING,https://lh3.googleusercontent.com/QxXQnICpqDcCOLzaDSuNQ4om6IsRRsaJYrLuqPZj1LK5yM-bwd8kBIvMnQK_WfOqVEZFWNSK6Fv0TuJZ-T6ayJGPiaNXo4bMzkPg=s120,KLAY,20,1274,9998,-0.105335737774478,836.592250103641,0.188261351052049,106.433896651791,1.36797828623277,821707.267303522
91,Klay Forest V2,https://lh3.googleusercontent.com/Oq6zSaiUaOfMNz4H7r3UdrpFM0ye6FJdISwJIPrC3NqBL8rGtsVgJhcFP2fX_OqHqW57hkZmJT65QCkHz6_DTG-dKSjUn6j5d2yX=s120,KLAY,13,862,9998,-0.39407076824992,942.728568293218,-0.561576354679803,105.937932548102,1.08222657340354,92268.9922306919
92,Moon Night Punks,https://lh3.googleusercontent.com/BwDZDfHQvVYIA1jB93upyhiNxj3B8kqkAcEfMNxHigQr6wPGNcIQDEZNWmL16GdPiJYLoYKSxr-_6rv4BZ453LWEg_R6UT5VpJDYaA=s120,KLAY,32,630,3428,-0.200791065611913,1362.90935693906,-0.782993197278912,31.6425098153974,2.42797896302128,40170.5233048017
93,KLAYRock,https://lh3.googleusercontent.com/nEIYQYEGyNJZlgi1pHPfvO5_yJiAH8XzmItwgV2P_nHwLfFIeXi3F_v8G3zJTyyZUf_Ey4tSyPT_OapRmmGtMdJsxJlUnO-8T5O28gQ=s120,KLAY,5000,117,181,0,6611.90772307167,-1,0,0.244285714285714,553316.989196966
94,Klay Museum Welcome Drink,https://lh3.googleusercontent.com/P91Vy13OcSB8klwtMiCAEWY-V--9y0u5YIuXLK6yuMF10kw3c7uj0QWMLVuGq66p_5ipOwiyHMWmzYFJ9iQDYux51Qm5LQOtLUGs30o=s120,KLAY,11,504,3520,-0.868782447171638,1639.65732679786,-0.50379746835443,194.417928646329,35.4987555404851,32636.8417624016
95,NewKlayPUNKS,https://lh3.googleusercontent.com/GrttPDLtOnL32XW1fijNV8dXMLGvlDlEMgzF7MJ8ZmCwfgnzZdAJuVqOnkOdcLWoMPXo8GksPg8GymDI-nfzxXcBncRtg_J37PCGqZI=s120,KLAY,26,268,3119,-0.271781147784716,2457.71934060038,52.8928571428571,1514.37259492282,-0.218313281139717,546917.172613303
96,CyberTHUG V2,https://lh3.googleusercontent.com/zYllwWs60t_XdzRuaKCn_dArKucema-wOS240q45crLpW-QmLEEwtlBov5tm_seM-VjxNEk__K0fnhsfMFcexs7RqBECQeT3BL2mmA,KLAY,200,99,6771,-1,0,0,0,-0.93293112324463,1024608.90289786
97,KlayCloud,https://lh3.googleusercontent.com/_ezSidRxoEB-8IX7Bhaj-f-zDduPlqhHaZDHmXDqb9XFxzcrV6swbRjMeYh_5ZqB9sSa14V-33otfmryl23NlGLYNkVQa1AiNAct=s120,KLAY,80,264,1500,9.53297489991753,25639.0597500914,-0.016949152542373,1035.57304850391,0,28073.2305322028
98,Klaypad Item,https://lh3.googleusercontent.com/jK9SBRCPff2aScUxL6R5Lc4haaZoKhBL3aNX_VnhszJwHc6z2OZC0fCxmgQj06cYw18mrGFCEtQmlhItiwSbcID0LEY8R--AVtnB=s120,KLAY,29,550,10315,0,27971.5650000001,0,27971.5650000001,0,27971.5650000001
99,Kobold Coin Club,https://lh3.googleusercontent.com/Rx1FURz0PP5rDCPmeP08fICm500VxE-LbLKuQ-aN_SlGsi6PKWlNCMnSWhBC-m97vsdIebhtFwtN7anr2UIjeXMt57urrTBhZoahfw=s120,KLAY,58,160,480,-0.787340782925821,4696.68086911991,5.71572052401747,1525.48639012851,0,26782.1607920599
100,KRAFTERSPACE,https://lh3.googleusercontent.com/lJg6pxGOWadD17oFh6CtKB2QpbkXmm9LQQ9AnFDijuuqncxqGhUUWEVS4qe9eGBKubaBm7MGIQ1xRt-A5G_A0MK4V7Y35xM945uK=s120,KLAY,0,23010,113826,6.31870514367896,8819.11493442204,0.02903759055624,79.431,11.7299773401638,427658.556252725
