ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
25,Cool Cats NFT,https://lh3.googleusercontent.com/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8=s120,ETH,7.99,5329,9941,0.221065791073913,1246.9961,-0.44281121435646,106.1,-0.5014945460111,90882.3526924075
26,Dippies,https://lh3.googleusercontent.com/ltLmL2_T4KKONimcbknNYs3SeQoKLCKgE429Y39zSMIpvEIy8PW8xXMnztPCehNCktTGhJAsKIzksM070xfmhFhsIyrs0U05N50q=s120,ETH,0.352,5574,8888,-0.801942552132986,1126.60111294732,-0.18423695899804,47.2729334444444,0,6814.8553294906
27,Coolman's Universe,https://lh3.googleusercontent.com/E2qCzhIiOS7mfw-vkPU3ROBTbNMeSaC47DLYXd9qiV275KGgciNbbKFgpffwOEpTTJ9JHHztmv1nnh6bOo0KpoFueK4EitHJzsqX=s120,ETH,1.42,5675,10000,3.16703016083752,1660.5117605866,-0.890026753071747,131.1354,0.255930636168883,20772.4737952714
28,T-O-S The Other Side,https://lh3.googleusercontent.com/A77NOhBXYcgBIGygV2SqvYNcJnjgJ8q64GKl2Zm5WeU9xrmZfLq0uzb6gHkMHRf01l19_OVi0d3o9S5DwY4hvZqdgQi7_YjNShbtrGk=s120,ETH,0.29,1309,8888,-0.377387555377322,123.7920019,0.360860153500873,24.5574019,9.02753592584124,7082.53706323289
29,The Doggies (Snoop Dogg),https://lh3.googleusercontent.com/ufumJQN9NwT0U5jh_suJP5cLRIjyE38hirVdBChQLe-ghnt1RomIARfxSNmR6fdMQC0OIgjVQHhhduUfcxiRVrfHpihrXSW-SU5J=s120,ETH,0.378,6833,10000,-0.696322015626704,201.277438036857,-0.091880796470703,32.2593,0,6387.97765832801
30,DEGEN TOONZ COLLECTION,https://lh3.googleusercontent.com/3Rk7PFs3XX1ja50aKi8lxh9x67yNX5kZLti7gPlHvWsS7iuXSUdQGctoOXtto7uLLLnvwxe1uhWN6WmmZvVWCcQ-Qm7a8K2KFmEZJC4=s120,ETH,0.539,4242,8888,-0.616715118015278,552.152644487868,0.134197270417161,72.9035,0,6079.29018375132
31,HOWLERZ,https://lh3.googleusercontent.com/x6hvOIWMQoPlIGwDAhpZCm4NesFGCwtrF6tv7UNu6vDasx6WxqW80WZ7w_vvMd6rVil6orhfeBmCk9GDGVUCYfP78gzFDb30usxWOA=s120,ETH,0.334444,2298,5000,-0.710898525294577,126.0049909516,0.086350292781031,9.777044,0,6001.93283992954
32,DourDarcels,https://lh3.googleusercontent.com/WxBXXLXUJZwhUMPfz0o18a2gjYpU-qecO-ENOF8QXsfiBLt8TeQ8Nurmi2zLbwgwTHE-J_aZRkIqDA_OGrBSbU7ZpOV8jdjtkp-U4Q=s120,ETH,0.95,4920,10000,2.28001154015815,4462.6474423119,1.10532365676136,565.2589801799,0,5823.20590001065
33,Quirkies Originals,https://lh3.googleusercontent.com/XS6RqsT7CBpoeX8vUmWkJYldMV6h0Ko7TpagNgFZ-nEh4yrMZFrpY4gtBqyuRDJV6mx2B0ssYxoh9Z9XlO770Xe8FNSu-kj-1EVzMQ=s120,ETH,1.35,2309,5000,2.49745285630688,1871.28444571262,-0.152558855857505,83.7438796318182,10.9006984585132,6128.70255210641
34,Metroverse,https://lh3.googleusercontent.com/sHO92R4xynTQtuC-DZ1B5qC5ZJe3n3Y46iufDza_sDXHuSj1zhhguoj-YjKN0pxh3b0Lg0Rz8Cp_BQliEh1o_-puGOVDDH8H7bzqcQ=s120,ETH,1.71,428,10000,-0.435024095370593,792.1861961019,0.817613987381334,115.5645526039,-0.62115229713999,19934.5471912455
