ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
18,Ember Sword Badge,https://lh3.googleusercontent.com/WKoNbcQGx1OCdRCfU5hEkcI_TFHfO-VxMladWaNEQBB01YD-lVeHhg92_b19-nzgUJp7SlWZpMbiAQwfpWIUhzuwlYO0-r8ydRPsmg=s120,ETH,0.203,5924,4,-0.208985999636049,22.8777280386,-0.675407007790999,2.3706,-0.188308977371945,1297.49316909854
19,DeRace Horses,https://lh3.googleusercontent.com/NX0IVtz5ANW7omJmZ782nxA8FHNriqfa764AuOdlRZpO7YLr0yImGggqysOs78dYsmO3lAMpAhwDhtjUbcyrUqUeUCQF_iDX7_20eQ=s120,ETH,0.15,1906,5191,-0.263319718966151,11.394049,2.03448275862069,1.76,-0.718236372242623,3427.79934044592
20,Evaverse Hoverboards,https://lh3.googleusercontent.com/qcQqdAW8G7vS7kjpFrkUfgp-SJnmkV75ONNdSlH-wLzW7EoXFsMuu2kC3UxidNgRTDm0bEnrVhptffYIVog6f8HiA_4ZMfvwK4ky=s120,ETH,0.125,3167,10017,-0.299832598368992,9.3773,-0.211068039032215,2.3608,-0.489657018980923,254.656407899
21,Dvision Land - London & Tokyo,https://lh3.googleusercontent.com/ogUNGS0MNgZFUw8yILa_Oq_mKf9aelh7jJtRJc8arpZqmnMpZsOa87JWjGQ0ZMFqCb-PWxsNXDX4c3Wa16BtdAmoGR6kR9Mbf7sNoA=s120,ETH,0.1099,1106,4735,3.3501270818148,31.3826824,-0.643001072504252,6.73279,-0.808965407523313,404.475558180006
22,MetaCityM Land OG,https://lh3.googleusercontent.com/B4cdLV_bgpJ03e6NjGrQgYQ6SLg56hgtEQW6ZWjeY8HiyE5YYRONxv4jE5CLZfTMKvpOS9nwCoxf4BLva2l5dJGeWbb-7_RFM3mX=s120,ETH,0.075,1472,5000,0.051602952087157,5.3861,1.63812316715543,1.7992,4.66123144581758,75.4131334443899
23,Project Galaxy NFT,https://lh3.googleusercontent.com/-tom5N1JkMBvXw3rtz7JseJpAIHLrVvU13rTto4uqQCPmW4ZNvboPj34x3Ub3r7baOGYQ43KhcQ3gADkewfOY1gWKFtZ7ZoTFG7_EQ=s120,ETH,0.0064,13057,28296,-0.787748303993385,3.56828,-0.852464717628845,0.26302,-0.724372113019213,477.201497868282
24,Genesis Komos by Ethlas,https://lh3.googleusercontent.com/bckKI7rYj3kNKfMnasEcMLDbxO8iqBnEp3kV6ffFmHrR4fsk374IOU--dhoD17r5RDL67m7HE4uUi3b7DJ5eVErfXieC7u9CqqYYWw=s120,ETH,0.129,1326,8337,-0.39143991920119,14.8526999,-0.391570583269834,1.689,0,61.5113997900001
25,Riot Racers Cars,https://lh3.googleusercontent.com/dyiqgz4_Fm6XY7B4xSZB5E4q9iuul46DSzLnBexZFyPB6r6tHMunAg7M7hjBPoJYMp9lFhglxzd_PhDAFc6sKOhOwwpzE7HFE0l5tA=s120,ETH,0.05,1487,6840,-0.595617383615705,6.1149,0.120184899845917,1.454,-0.074219116126679,814.901688900002
26,HOK Main,https://lh3.googleusercontent.com/1lYiYL_wfr19fxF0lNGLvOqZ9tkOQQ4lPQj-8Eae1NGYlfv8hjsb_adJCJvEoJs45hpAwWPO04YHlyf6THN8hddm2d4J3Vd69-r0=s120,ETH,0.075,1160,3291,-0.171741440650557,8.963,-0.158866995073892,3.415,-0.538662085439005,985.515055999888
27,Riot Racers Drivers,https://lh3.googleusercontent.com/zv-r2X1DouiaCsT0C-8KeY2j_d8VR9pMTq0nIhPFda__IPc1OVqivwKPMik_tits30MwdRWKuYFaceHP9AMzpPeuJsio8-dgjr9AxQ=s120,ETH,0.028,1706,11110,-0.168372059654378,9.2734,5.58301282051282,2.0539,0.538324916532825,171.1629878888
