ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
21,World of Solana,https://lh3.googleusercontent.com/wflmxtYMIXa97VYq_Kp1qfOAd6haiLwNEnU4bGd1XVyz9zJ-LbsVZTdZ_6PhoLBu45uTjsAncVjl2_5tCTDIeRqsJOXeroN1X7KOK5s=s120,SOL,2.95,613,2210,-1,0,0,0,0,471.534636103411
22,Shadowy Super Coder,https://lh3.googleusercontent.com/5Ty2E7_hT4c9sHNStPwXcc9Gp8ciJlUNVb_AgTxSzuvKq6BKVO4xx44vr9RLFSDoEmPvnkLaYvBsiLMiTI0aiZYY-djUlvQPktVZ=s120,SOL,,153,10000,0,256.57092204086,-1,0,0,440.250902729126
23,YAKU Corp: Capsule X,https://lh3.googleusercontent.com/NvDrSnAfUHikAoJMWAwARD6QqusoZ1N0hBl58poOsN5iCtZVSpv5pUVC5znYcBkvFkRkpEMFeJSH8wJ4pT_PyT1sexU9pvHzeEGHc5w=s120,SOL,10.01,3997,6999,-0.245553643144005,26.0372545606755,-1,0,-0.551899044351875,1170.13204013098
24,Project: TENJIN,https://lh3.googleusercontent.com/fmejr3coEVpNkV463xRznLwbmtoZSwO0Aq_BBtsVkLADY5pEdO9hFC-Rn9bffT9l8sbb2_5x8Muk2aFPTVl9FZ73wAbJolsIutQvWA=s120,SOL,2,5933,7499,-0.313090353973857,145.204787005754,-1,0,0,357.500861458504
25,Tojiba CPU Corp,https://lh3.googleusercontent.com/gW2RqnYJjX3A09hIcfEnVS_thra-1j30AxdI_7pxauDo1rxPsfDp8ib1hNTwCTTkT_Aj4wtKyGhVMUA5MN9y3mqve_-8gzVx9Cn9Sw=s120,SOL,3,380,2090,5.90584727598702,308.399135069104,0,29.2157176767455,0,353.056817572664
26,Degenerate Trash Pandas,https://lh3.googleusercontent.com/ujTMHw279R6dyoT7sEAA8TBMRJAQWUrQq_yTrUaPoDuAPKR7DAgORqsa8cQCtMD_MyCWnNywUlU07lTXprUKMUuS1dl6MYWRZ5IQ=s120,SOL,7.45,20311,30518,0.812163543936093,173.0028854349,0,15.3516717319045,0,338.857295631181
27,Solana Monke Rejects,https://lh3.googleusercontent.com/ltEPCCcoqOZ10SKHu47rugw8VpYAbICAzYzF9bcWKHZPI9i3jF16v0D_-fT8ZTLz-FgIHtQJaoC2mK5w1Pe93zm3F3gTGMAIPOVqKQ=s120,SOL,5.2,2727,5999,0.750123946455131,208.387622183911,0.245098039215686,31.2384655540094,0,333.361162173526
28,Genopets Refined Crystals,https://lh3.googleusercontent.com/Q4cGKGGiDfkSsaDt0p4R1UKuzDsusvBgHvh0VmavPT8LJrk5f5Z0bn7Sr0YEvADWSl7qUwUcLCIZ2wJ-lh-eBO_hU4JRQzyi15feSw=s120,SOL,4.5,1547,3681,1.23054114158636,29.654112495645,0,17.6899740543977,1.59698789251381,491.350205085281
29,Psyker,https://lh3.googleusercontent.com/4q42EaSJJazzgJWaiMPBdBU-eU_W4XkGdfE4ndnvjrjlxTI216IL2yBovtPugGsF2UDTDWBoM5A8IugMYfubvb07ArFodPnylg83YX0=s120,SOL,0.42,2455,7000,2.71118916014125,94.7941223995192,-0.863684833832107,2.71977956553538,-0.601873787156936,979.146704302876
30,Yaku Engineering ONI-S01,https://lh3.googleusercontent.com/RO-n426J1sFhKcgR0c8c3_kajgFhGHCmgf3NBoSgs9hSz1bk45LOo5jTDYCYPz43SNwlNbGEkzTQnMV_m-SYp7A-ugZTdkMgvAPBHEQ=s120,SOL,,4071,7002,0.429605501266739,39.0937553302681,0,15.3405875346622,-0.71468937759564,2829.5834452954
31,Mindfolk,https://lh3.googleusercontent.com/eUfzzEHHbaWl3R3kKVBdWJqoRN3b6C2FygkrL9M_xtSCTNO1kMshghR1z7mDjbUUtJy3smyn42gw2dyz-s2-khCI2rbu0tjp9ytYvA=s120,SOL,95,344,768,-1,0,0,0,0,261.273498698652
32,Genopets,https://lh3.googleusercontent.com/Q4cGKGGiDfkSsaDt0p4R1UKuzDsusvBgHvh0VmavPT8LJrk5f5Z0bn7Sr0YEvADWSl7qUwUcLCIZ2wJ-lh-eBO_hU4JRQzyi15feSw=s120,SOL,,2694,3218,3.13875,98.8977189488907,-1,0,1.3548473967684,372.103538737229
33,Cets on Creck,https://lh3.googleusercontent.com/kMVcTy0HKYRkevj4AkM9x7usYDDxZDZcqcsT-4fwMqvrVqGErxMAtHbRPgDnwZGSREDTmksGGuguzWaTcuD-CQpPVJFE33GhW7HyZg=s120,SOL,,3830,6963,-1,0,0,0,0,245.639413555001
34,Enviro,https://lh3.googleusercontent.com/ogJH3lgCYb9Jgv69kyVZ3JeSQ1W5MvkEhYNZpanZ90y1iJxJx2PkIMNciMukQrl8OjTI6hM5xmmrUWBK8YzUQqQq2KUjAlpsmDAaRQ=s120,SOL,7.1,3959,14000,-0.884324324324324,23.8503662284672,-1,0,0,230.033438764281
35,BR1: Genesis Apes,https://lh3.googleusercontent.com/wjJXnhMlNt1B9ARpk_oxd9r_Serx0Yp4Rtu5h0ftPmP7VuhC4MDZHm9GvOzAbfWGdadAvZ0o_HXvERmUlqV3KDifx2XJ8yPqRzqd=s120,SOL,,783,2500,0.409395973154363,41.2679783497039,0,7.36928184816142,8.36223092840314,241.701636338668
36,Famous Fox Federation,https://lh3.googleusercontent.com/nO71D1iBJic5oI9QDtXjLfLNG_tx_SXkq64RihXptxV6gdznmV-uoVU58o37mGB_4Vue-YCAiezseaKT4WT3H96RsOi_qrI7L9iOoA=s120,SOL,40,4230,7779,0.244366197183099,119.936742814254,-1,0,0,216.320542925312
37,Baby Ape Social Club,https://lh3.googleusercontent.com/K4GmMbVf79PfxQw_B7LdUic_UsV8lA85y9oQRvuC-vx4bLnBRoIXSwZ7ItJfCifb-gEQnTbIvu5svLqQ5tX63hTIHAtrgIoQm2HXXcQ=s120,SOL,,959,5000,0.292484589488571,82.8699224712046,4.83915343915344,54.3858506417824,0,187.297950641986
38,Diamond Baepes,https://lh3.googleusercontent.com/9A2Lxcg5gj_HWCc3EUc3VSHZAUHMrypztvwOAZT4ao4qXdYMCxs2PhDoYplP04wOFat5uh4vNaK4iu3v_1o9j3pf5yX6QuQR9Eqv5w=s120,SOL,22,990,2221,-0.101134831460674,77.7948514405781,-1,0,0,164.342705516397
39,SolChicks,https://lh3.googleusercontent.com/EG8-ZJraXK90iGSvcq-mpPfbYIUuB2OwLJ7iDFTOkeTzbgvVXFAGlqeyPFwOh327yCWv-9-CayBQp5VZ2ZOyTBBA11T-q_MypDYa-A=s120,SOL,7,2732,5414,15.5075268817204,151.986285937449,-0.04410480349345,21.6713118757866,17.3172501831725,174.844509329416
40,The Chimpions,https://lh3.googleusercontent.com/cyzAPGLQ6kzaLaMeHsaC5RwzFfgL6NmBDkGxxG7f7UaYpm7M5MBEYVvrOuWkh9obMgcS0NnI5m9dUtyD08feuAcIfGKAC8-AuCIs6ng=s120,SOL,80,178,221,-1,0,0,0,0,158.275275604828
41,Blocksmith Labs,https://lh3.googleusercontent.com/kVWanIsxwQsw3egPHje3ApShycYWbP9v_7wCi-5ekF0RbO_IJi44phhsGH-d4iqzBI7UUv9fJwhfsevDVYzjeqaudsrztvdxkYeCobs=s120,SOL,,2914,4444,-0.779475323204681,22.9687889386711,-1,0,0,153.356890295345
42,OG Atadia,https://lh3.googleusercontent.com/O8GK9vCJ5Cdtjz9aP3x7M4Bc4Z5HNgcsP0AcZFRjhC8p8fU4icgv2ecfNfZhMBjcYycVgJ2gpvCae_1TfXdbGOg2d6pKCdXRPlSsfQ=s120,SOL,,2274,4999,-1,0,0,0,0,150.195364474836
43,The Neighborhood,https://lh3.googleusercontent.com/YZDtjZ9umm8XN5zNyfVO_e82XqfMkgxroBcKK0pjRZYjU2-dOA-DQP5mRW9YtPMBrrwy-kCjdxFeIAQHIBych44M0Jz6xsabjDcVKw=s120,SOL,0.45,2178,5414,-0.519204574709698,36.2293052061773,-0.361418586309119,2.32454272655764,0,127.186488035123
